intent,q,noisyq,a
unknown,idk,a,Xin lỗi mình chưa nghe rõ bạn có thể nói lại được không
command_lead_way, quá trình hình thành,a,1
command_lead_way, sự hình thành đại học đông dương,a,1
command_lead_way, Quá trình phát triển đại học quốc gia,a,2
command_lead_way, đại học quốc gia trong những năm tháng kháng chiến,a,2
command_lead_way, đại học quốc gia thành lập,a,3
command_lead_way, sự thành lập đại học quốc gia,a,3
command_lead_way, các giám đốc và phó giám đốc của đại học quốc gia,a,4
command_lead_way, các lãnh đạo của đại học quốc gia,a,4
command_lead_way, sự quan tâm của đảng dành cho đại học quốc gia,a,5
command_lead_way, đại học quốc gia là ngôi sao lớn,a,6
command_lead_way, Những dấu ấn của đại học quốc gia,a,6
command_lead_way, hoa sen,a,6
command_lead_way, các đặc trưng của đại học quốc gia,a,7
command_lead_way, các thành tựu nổi bật của đại học quốc gia,a,8
command_lead_way, Sự tin tưởng của bạn bè quốc tế dành cho đại học quốc gia,a,9
command_lead_way, các đối tác quốc tế của đại học quốc gia,a,9
command_lead_way, các giải thưởng của đại học quốc gia,a,10
command_lead_way, các giải thưởng mà đại học quốc gia đạt được,a,10
command_lead_way, các tiến sĩ danh dự đại học quốc gia,a,11
command_lead_way, vị thế trên trường quốc tế của đại học quốc gia,a,11
command_lead_way, số một,a,1
command_lead_way, số hai,a,2
command_lead_way, số ba,a,3
command_lead_way, số bốn,a,4
command_lead_way, số năm,a,5
command_lead_way, số sáu,a,6
command_lead_way, số bảy,a,7
command_lead_way, số tám,a,8
command_lead_way, số chín,a,9
command_lead_way, số mười,a,10
command_lead_way, số mười một,a,11
command_lead_way, đi xung quanh,a,all
command_lead_way, đi một vòng,a,all
command_lead_way, toàn bộ,a,all
command_lead_way, một lượt,a,all
command_lead_way, tất cả,a,all
command_lead_way, nghe tất cả,a,all
command_lead_way, nghe toàn bộ,a,all
command_lead_way, hết,a,all
command_lead_way, tổng hợp,a,all
command_lead_way, đầu tiên,a,1
command_lead_way, cuối cùng,a,11
command_lead_way, số 1,a,1
command_lead_way, số 2,a,2
command_lead_way, số 3,a,3
command_lead_way, số 4,a,4
command_lead_way, số 5,a,5
command_lead_way, số 6,a,6
command_lead_way, số 7,a,7
command_lead_way, số 8,a,8
command_lead_way, số 9,a,9
command_lead_way, số 10,a,10
command_lead_way, số 11,a,11
